,OrderId,Companhia,Secao,Tipo_Questao,Nota,Motivo_Selecionado,Comentario,Grupo_Motivo,Classificacao_NPS
12823,2710486,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Marcos, ele informou que foi muito bem atendido, correu tudo bem e foi dentro do prazo. Informou também que  não tem do que reclamar, pois não é a primeira vez que aciona .",Qualidade do atendimento,Promotor
12826,2602285,Bradesco Seguros,Funilaria Porta Traseira Direita,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que o atendimento foi bom.,Qualidade do atendimento,Promotor
12827,2710471,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade do atendimento em geral,Em contato com o cliente informou que o atendimento foi perfeito .,Qualidade do atendimento,Promotor
12829,2602323,Azul Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade do atendimento em geral,JA ESTAÕ RESONDIDAS DENTRO DAS PERGUNTAS  REALIZADAS ,Qualidade do atendimento,Promotor
12830,2602324,Bradesco Seguros,Parabrisa,Carglass,10,Rapidez no atendimento e serviço prestado,"Atendimento excelente.Super atenciosos, trabalham muito bem. Parabéns ??????",Qualidade do atendimento,Promotor
12831,2602332,Bradesco Seguros,Funilaria Porta Traseira Direita,Carglass,9,Qualidade do atendimento em geral,Cliente ressalta que deu tudo certo no seu atendimento.,Qualidade do atendimento,Promotor
12833,2710407,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com cliente informou que, foi bem atendida  .",Qualidade do atendimento,Promotor
12834,2602394,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o bom atendimento. Foi otimo,Qualidade do atendimento,Promotor
12837,2602438,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,O cliente Chen teve um bom atendimento e com prontidão.,Qualidade do atendimento,Promotor
12838,2710345,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Em contato com cliente informou que no atendimento  deu tudo certo .,Qualidade do atendimento,Promotor
12839,2602448,Bradesco Seguros,Farol Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,"O cliente Chen teve um bom atendimento, tiraram todas as dúvidas.",Qualidade do atendimento,Promotor
12840,2710331,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"EM contato com ALEX, informou que  fizeram o serviço.",Qualidade do atendimento,Promotor
12842,2710281,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento muito bom ,Qualidade do atendimento,Promotor
12844,2710261,Azul Seguros,Funilaria Porta Traseira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Carol( esposa), ela informou que não teve problema foi tudo resolvido. ",Qualidade do atendimento,Promotor
12845,2602623,Azul Seguros,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,"Ótimo atendimento, e serviços realizados.",Qualidade do atendimento,Promotor
12846,2602624,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista Led,Carglass,10,Qualidade do atendimento em geral,Foi bem atendida,Qualidade do atendimento,Promotor
12847,2710240,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Renan, ele informou que não teve problema que o corretor que fez acionamento.",Qualidade do atendimento,Promotor
12848,2710212,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com William, ele informou que foi bem atendido ",Qualidade do atendimento,Promotor
12849,2602691,Bradesco Seguros,Farol Esquerdo/Motorista Led,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Tudo certo, tranquilo",Qualidade do atendimento,Promotor
12850,2602701,ALD Comfort,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta bom atendimento. São muito atenciosos.,Qualidade do atendimento,Promotor
12853,2602786,Porto Seguro,Funilaria Teto,Carglass,10,Qualidade do atendimento em geral,Demorou um pouco más foi razoável ,Qualidade do atendimento,Promotor
12854,2602807,Bradesco Seguros,Teto,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Sistema muito simples, rápido e atendimento executado com qualidade. ",Qualidade do atendimento,Promotor
12857,2710021,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Carlos, ele ressalta a  agilidade do atendimento.",Qualidade do atendimento,Promotor
12858,2710003,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O processo foi simples e eficiente.,Qualidade do atendimento,Promotor
12859,2602887,Bradesco Seguros,Farol Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,Foi bem atendida,Qualidade do atendimento,Promotor
12861,2709957,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Priscila, ela informou que foram muito rápidos no serviço e  exaltou a excelência no atendimento.",Qualidade do atendimento,Promotor
12862,2602907,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,O cliente Vernison gostou do atendimento.,Qualidade do atendimento,Promotor
12863,2709942,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Em contato com cliente informou que, no  atendimento informar uma   loja distante  e tentou verificar uma mais próxima porem não conseguiram .",Qualidade do atendimento,Promotor
12865,2602920,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que foi tudo tranquilo ,Qualidade do atendimento,Promotor
12867,2602922,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O cliente Marino gostou do atendimento.,Qualidade do atendimento,Promotor
12869,2602981,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Rapidez no atendimento e serviço prestado,Muito boa oficina... Recomendo ,Qualidade do atendimento,Promotor
12874,2709884,Porto Seguro,Funilaria Para-lama Dianteiro Direito,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Funilaria Neves, prestou excelente trabalho.",Qualidade do atendimento,Promotor
12875,2603034,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente ressalta bom atendimento, rapidez e agilidade.",Qualidade do atendimento,Promotor
12876,2603040,Bradesco Seguros,Lente de Retrovisor Esquerdo/Motorista,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Foi bem atendido e foi rápido,Qualidade do atendimento,Promotor
12877,2709857,Bradesco Seguros,Vigia,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Luciana, ela informa que foi bem rápido, ágil e  pratico.",Qualidade do atendimento,Promotor
12878,2603041,Bradesco Seguros,Lente de Retrovisor Direito/Passageiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que foi tudo perfeito,Qualidade do atendimento,Promotor
12880,2709798,Porto Seguro,Capô,Carglass,10,Rapidez no atendimento e serviço prestado,Gostei e recomendo ,Qualidade do atendimento,Promotor
12882,2603139,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Resolveu rápido .,Qualidade do atendimento,Promotor
12885,2603156,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O cliente Rheroldi gostou do atendimento do início ao fim.,Qualidade do atendimento,Promotor
12887,2603185,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e qualidade de serviço ,Qualidade do atendimento,Promotor
12888,2709730,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,atendimeto muito bom,Qualidade do atendimento,Promotor
12891,2709693,Porto Seguro,Funilaria Porta Dianteira Direita,Carglass,10,Qualidade do atendimento em geral,"Profissionais que realmente atende i cliente com carinho e atenção, exemplo que deve seguir por outras empresas.... parabéns a todos.",Qualidade do atendimento,Promotor
12892,2709683,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Lucas, ele informou que a gostou da facilidade serviço.",Qualidade do atendimento,Promotor
12893,2709639,Azul Seguros,Funilaria Porta Dianteira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com MARCO ANTONIO, informou que deu tudo certo. ",Qualidade do atendimento,Promotor
12894,2603272,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,cliente ressalta o bom atendimento e tudo dentro do prazo necessário. ,Qualidade do atendimento,Promotor
12896,2709576,Arval,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"EM contato com William, informou que foi rápido e objetivo.",Qualidade do atendimento,Promotor
12897,2603305,Porto Seguro,Porta Traseira Direita/Passageiro,Carglass,9,Qualidade do atendimento em geral,A cliente Eliane foi bem atendida.,Qualidade do atendimento,Promotor
12899,2709569,Bradesco Seguros,Lanterna Traseira Direita/Passageiro Led,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Começa pelo atendimento via whatsapp depois a precisão no horário e os profissionais muito atenciosos e educados.,Qualidade do atendimento,Promotor
12901,2709566,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,"Foi muito rápido e eficiente 
Estão de parabéns ",Qualidade do atendimento,Promotor
12902,2603350,ALD Automotive,Reparo (1 Ponto),Carglass,10,Qualidade do atendimento em geral,Foi bem atendida,Qualidade do atendimento,Promotor
12903,2709530,Bradesco Seguros,Reparo (1 Ponto),Carglass,10,Qualidade do atendimento em geral,"Em contato com Josimar, ele informa que foi bem atendido.",Qualidade do atendimento,Promotor
12904,2603385,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Atendimento rápido. ,Qualidade do atendimento,Promotor
12906,2709492,Porto Seguro,Funilaria Porta Dianteira Esquerda,Carglass,9,Rapidez no atendimento e serviço prestado,"Houve um problema para imprimir a ordem de serviço que gerou um gasto de energia que eu não esperava, pois foram dias entrando em contato para alguém me ajudar e ninguém resolvia. ",Qualidade do atendimento,Promotor
12907,2603417,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,"cliente ressalta que gostou de tudo, bom atendimento e bom serviço.",Qualidade do atendimento,Promotor
12908,2603424,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,"Cliente ressalta que deu tudo certo.
",Qualidade do atendimento,Promotor
12910,2603487,Arval,Vidro Lateral Direito/Passageiro,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Foram muito atenciosos e profissionais,Qualidade do atendimento,Promotor
12913,2603514,Porto Seguro,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,O cliente Manoel foi muito bem atendido.,Qualidade do atendimento,Promotor
12914,2603572,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que houve uma demora para liberação mas seu tudo certo. ,Qualidade do atendimento,Promotor
12915,2709358,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Eduarda, informou que foi ágil e rápido. ",Qualidade do atendimento,Promotor
12917,2709273,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Atila, ele informa que foi rápido atendimento automatizado.",Qualidade do atendimento,Promotor
12919,2709240,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Eduardo, ele informa que foi bem satisfatório,",Qualidade do atendimento,Promotor
12921,2603715,ALD Automotive,Parabrisa,Carglass,10,Qualidade do atendimento em geral,Foi muito bem atendido,Qualidade do atendimento,Promotor
12923,2709156,Azul Seguros,Funilaria Para-Choque Traseiro,Carglass,9,Qualidade do atendimento – telefonia e agendamento,Otimo atendimento ,Liberação,Promotor
12924,2709136,Bradesco Seguros,Funilaria Para-Choque Traseiro Esquerdo/Motorista,Disk Reparo,10,A experiência com atendimento e serviço prestado agradou o cliente,"Gostaria de agradecer o excelente serviço prestado pelo Michael.
Ele foi dez, muito educado e minucioso. 
Meu carro ficou muito bom!",Qualidade do atendimento,Promotor
12925,2603743,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"O cliente Laércio informa que o valor da franquia foi cobrado incorretamente, pois em sua apólice conta o valor de R$ 368,00 para o serviço, e o valor cobrado foi de R$ 407,00. Fora isso teve um bom atendimento.",Qualidade do atendimento,Promotor
12926,2709120,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Marcilio, informou que foi bem atendido.",Qualidade do atendimento,Promotor
12928,2709078,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendeu minhas expectativas na execução do serviço. ,Qualidade do atendimento,Promotor
12929,2709067,Bradesco Seguros,Vigia,Carglass,10,Qualidade do atendimento em geral,"Em contato com Lilian, ela informa que foi muito bem atendida.",Qualidade do atendimento,Promotor
12930,2709066,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Equipe recomendo serviço de primeira linha parabéns para toda equipe ,Liberação,Promotor
12931,2709065,Azul Seguros,Funilaria Capô,Carglass,9,Qualidade do atendimento – telefonia e agendamento,"Tive dúvidas sobre franquias, localização, opções de oficinas, indignada por uma cidade como Ribeirão Preto SP só ter duas oficinas credenciadas. De qualquer forma a atendente muito profissional, inteligente, o nível de percepção, perguntas e esclarecimentos é superior a qualquer outra Central que eu já tenha ligado.",Liberação,Promotor
